# G5 reference trajectory — cartpole free-fall (action=0, theta0=0.1 rad)
# ADR-2605261600 §G5. Schema: step,x,x_dot,theta,theta_dot
#
# PROVENANCE: ANALYTIC stand-in, NOT NVIDIA Isaac Sim. Regenerated directly
# from the kami-genesis closed-form cartpole at cfg=default (cart_mass=1.0,
# pole_mass=0.1, pole_half_length=0.25, gravity=9.81, dt=1/60), 60 steps, so
# kami self-consistency scores exactly 1.0 (deterministic regression pin).
#
# When the real Isaac Sim ground-truth CSV is captured ONCE on the isolated
# trial machine (G5 procedure; only the metrics CSV returns, never the
# Omniverse/Isaac binaries — ADR-2605261800 §2(b) N1..N9 NEVER), drop it in
# as reference_freefall_isaac.csv with this same schema; the harness prefers
# it automatically with zero code change.
step,x,x_dot,theta,theta_dot
0,-0.000019791933,-0.0011875159,0.10087522,0.052513044
1,-0.00005954454,-0.0023851565,0.102633275,0.10548313
2,-0.00011959451,-0.0036029979,0.10528945,0.15937072
3,-0.00020044847,-0.004851237,0.10886685,0.2146438
4,-0.00030278583,-0.0061402414,0.11339654,0.27178168
5,-0.00042746248,-0.007480598,0.11891785,0.3312788
6,-0.000575515,-0.00888315,0.12547866,0.39364856
7,-0.00074816536,-0.010359022,0.13313578,0.45942727
8,-0.0009468258,-0.011919624,0.14195542,0.529178
9,-0.0011731031,-0.013576641,0.15201366,0.6034946
10,-0.0014288027,-0.015341975,0.16339709,0.6830054
11,-0.0017159303,-0.017227655,0.17620337,0.7683772
12,-0.0020366916,-0.019245679,0.19054201,0.8603187
13,-0.002393488,-0.02140778,0.20653509,0.959584
14,-0.0027889062,-0.023725085,0.224318,1.0669749
15,-0.0032257002,-0.026207643,0.24404038,1.1833435
16,-0.003706763,-0.028863769,0.26586694,1.309593
17,-0.0042350823,-0.031699166,0.2899782,1.4466771
18,-0.0048136786,-0.03471576,0.3165715,1.5955983
19,-0.0054455153,-0.03791019,0.34586155,1.7574031
20,-0.006133379,-0.041271828,0.3780811,1.933174
21,-0.0068797176,-0.04478032,0.4134814,2.1240182
22,-0.0076864255,-0.048402473,0.4523323,2.3310518
23,-0.008554567,-0.05208846,0.49492192,2.5553777
24,-0.009484022,-0.05576732,0.54155624,2.7980592
25,-0.01047305,-0.05934167,0.59255767,3.060086
26,-0.011517747,-0.06268184,0.6482633,3.3423347
27,-0.012611408,-0.06561965,0.70902205,3.6455255
28,-0.013743778,-0.06794222,0.7751916,3.9701746
29,-0.014900222,-0.06938665,0.84713405,4.316548
30,-0.016060831,-0.06963654,0.925211,4.684618
31,-0.017199526,-0.06832167,1.0097781,5.0740304
32,-0.018283237,-0.06502265,1.1011795,5.484078
33,-0.019271277,-0.059282392,1.1997409,5.913684
34,-0.020115053,-0.05062654,1.305764,6.3613873
35,-0.020758305,-0.038595047,1.4195191,6.8253064
36,-0.02113809,-0.02278712,1.5412366,7.3030577
37,-0.021186784,-0.002921572,1.6710963,7.791582
38,-0.020835357,0.02108564,1.8092102,8.286829
39,-0.020018252,0.049026255,1.9555976,8.78325
40,-0.018680084,0.080290064,2.1101491,9.273088
41,-0.01678421,0.113752514,2.2725744,9.745515
42,-0.014322757,0.14768715,2.4423382,10.18583
43,-0.011326853,0.17975423,2.618591,10.575164
44,-0.007874552,0.20713806,2.8001132,10.89133
45,-0.004092904,0.22689888,2.985304,11.111448
46,-0.0001506824,0.23653328,3.172243,11.216347
47,0.0037593134,0.23459972,3.358835,11.195517
48,0.007445074,0.22114563,3.543008,11.050382
49,0.010740237,0.19770975,3.7229083,10.794014
50,0.013521766,0.16689174,3.8970315,10.447401
51,0.015716948,0.13171092,4.0642695,10.034278
52,0.017300768,0.09502922,4.223883,9.576808
53,0.018287336,0.059194114,4.375437,9.093226
54,0.01871914,0.025908247,4.518725,8.597295
55,0.018656705,-0.0037461128,4.6537056,8.098843
56,0.018169919,-0.029207174,4.780451,7.6047072
57,0.017331375,-0.050312616,4.8991117,7.119649
58,0.016211616,-0.06718556,5.0098963,6.647072
59,0.01487598,-0.08013816,5.1130548,6.18951
