country_iso2,year,classification_system,classification_code,classification_label,measure,value,unit,currency
JP,2019,cofog,GF01,General public services,expenditure_usd,92000000000,USD,USD
JP,2019,cofog,GF02,Defence,expenditure_usd,48000000000,USD,USD
JP,2019,cofog,GF07,Health,expenditure_usd,210000000000,USD,USD
JP,2019,cofog,GF09,Education,expenditure_usd,175000000000,USD,USD
JP,2019,isic,A,Agriculture; forestry and fishing,expenditure_usd,83000000000,USD,USD
JP,2019,isic,C,Manufacturing,expenditure_usd,510000000000,USD,USD
JP,2019,isic,J,Information and communication,expenditure_usd,160000000000,USD,USD
JP,2019,isic,M,Professional; scientific and technical activities,expenditure_usd,125000000000,USD,USD
JP,2020,cofog,GF01,General public services,expenditure_usd,98000000000,USD,USD
JP,2020,cofog,GF02,Defence,expenditure_usd,52000000000,USD,USD
JP,2020,cofog,GF07,Health,expenditure_usd,240000000000,USD,USD
JP,2020,cofog,GF09,Education,expenditure_usd,168000000000,USD,USD
JP,2020,isic,A,Agriculture; forestry and fishing,expenditure_usd,86000000000,USD,USD
JP,2020,isic,C,Manufacturing,expenditure_usd,485000000000,USD,USD
JP,2020,isic,J,Information and communication,expenditure_usd,170000000000,USD,USD
JP,2020,isic,M,Professional; scientific and technical activities,expenditure_usd,120000000000,USD,USD
JP,2021,cofog,GF01,General public services,expenditure_usd,101000000000,USD,USD
JP,2021,cofog,GF02,Defence,expenditure_usd,51000000000,USD,USD
JP,2021,cofog,GF07,Health,expenditure_usd,235000000000,USD,USD
JP,2021,cofog,GF09,Education,expenditure_usd,171000000000,USD,USD
JP,2021,isic,A,Agriculture; forestry and fishing,expenditure_usd,84000000000,USD,USD
JP,2021,isic,C,Manufacturing,expenditure_usd,505000000000,USD,USD
JP,2021,isic,J,Information and communication,expenditure_usd,178000000000,USD,USD
JP,2021,isic,M,Professional; scientific and technical activities,expenditure_usd,123000000000,USD,USD
JP,2022,cofog,GF01,General public services,expenditure_usd,99000000000,USD,USD
JP,2022,cofog,GF02,Defence,expenditure_usd,53000000000,USD,USD
JP,2022,cofog,GF07,Health,expenditure_usd,228000000000,USD,USD
JP,2022,cofog,GF09,Education,expenditure_usd,173000000000,USD,USD
JP,2022,isic,A,Agriculture; forestry and fishing,expenditure_usd,82000000000,USD,USD
JP,2022,isic,C,Manufacturing,expenditure_usd,520000000000,USD,USD
JP,2022,isic,J,Information and communication,expenditure_usd,185000000000,USD,USD
JP,2022,isic,M,Professional; scientific and technical activities,expenditure_usd,126000000000,USD,USD
JP,2023,cofog,GF01,General public services,expenditure_usd,103000000000,USD,USD
JP,2023,cofog,GF02,Defence,expenditure_usd,54000000000,USD,USD
JP,2023,cofog,GF07,Health,expenditure_usd,232000000000,USD,USD
JP,2023,cofog,GF09,Education,expenditure_usd,176000000000,USD,USD
JP,2023,isic,A,Agriculture; forestry and fishing,expenditure_usd,81000000000,USD,USD
JP,2023,isic,C,Manufacturing,expenditure_usd,535000000000,USD,USD
JP,2023,isic,J,Information and communication,expenditure_usd,192000000000,USD,USD
JP,2023,isic,M,Professional; scientific and technical activities,expenditure_usd,131000000000,USD,USD
US,2019,cofog,GF01,General public services,expenditure_usd,350000000000,USD,USD
US,2019,cofog,GF02,Defence,expenditure_usd,730000000000,USD,USD
US,2019,cofog,GF07,Health,expenditure_usd,1220000000000,USD,USD
US,2019,cofog,GF09,Education,expenditure_usd,980000000000,USD,USD
US,2019,isic,A,Agriculture; forestry and fishing,expenditure_usd,210000000000,USD,USD
US,2019,isic,C,Manufacturing,expenditure_usd,2350000000000,USD,USD
US,2019,isic,J,Information and communication,expenditure_usd,1470000000000,USD,USD
US,2019,isic,M,Professional; scientific and technical activities,expenditure_usd,1950000000000,USD,USD
US,2020,cofog,GF01,General public services,expenditure_usd,420000000000,USD,USD
US,2020,cofog,GF02,Defence,expenditure_usd,760000000000,USD,USD
US,2020,cofog,GF07,Health,expenditure_usd,1390000000000,USD,USD
US,2020,cofog,GF09,Education,expenditure_usd,1020000000000,USD,USD
US,2020,isic,A,Agriculture; forestry and fishing,expenditure_usd,225000000000,USD,USD
US,2020,isic,C,Manufacturing,expenditure_usd,2220000000000,USD,USD
US,2020,isic,J,Information and communication,expenditure_usd,1540000000000,USD,USD
US,2020,isic,M,Professional; scientific and technical activities,expenditure_usd,1880000000000,USD,USD
US,2021,cofog,GF01,General public services,expenditure_usd,390000000000,USD,USD
US,2021,cofog,GF02,Defence,expenditure_usd,800000000000,USD,USD
US,2021,cofog,GF07,Health,expenditure_usd,1320000000000,USD,USD
US,2021,cofog,GF09,Education,expenditure_usd,1010000000000,USD,USD
US,2021,isic,A,Agriculture; forestry and fishing,expenditure_usd,220000000000,USD,USD
US,2021,isic,C,Manufacturing,expenditure_usd,2380000000000,USD,USD
US,2021,isic,J,Information and communication,expenditure_usd,1620000000000,USD,USD
US,2021,isic,M,Professional; scientific and technical activities,expenditure_usd,1960000000000,USD,USD
US,2022,cofog,GF01,General public services,expenditure_usd,380000000000,USD,USD
US,2022,cofog,GF02,Defence,expenditure_usd,820000000000,USD,USD
US,2022,cofog,GF07,Health,expenditure_usd,1290000000000,USD,USD
US,2022,cofog,GF09,Education,expenditure_usd,1000000000000,USD,USD
US,2022,isic,A,Agriculture; forestry and fishing,expenditure_usd,215000000000,USD,USD
US,2022,isic,C,Manufacturing,expenditure_usd,2460000000000,USD,USD
US,2022,isic,J,Information and communication,expenditure_usd,1680000000000,USD,USD
US,2022,isic,M,Professional; scientific and technical activities,expenditure_usd,2020000000000,USD,USD
US,2023,cofog,GF01,General public services,expenditure_usd,395000000000,USD,USD
US,2023,cofog,GF02,Defence,expenditure_usd,860000000000,USD,USD
US,2023,cofog,GF07,Health,expenditure_usd,1330000000000,USD,USD
US,2023,cofog,GF09,Education,expenditure_usd,1030000000000,USD,USD
US,2023,isic,A,Agriculture; forestry and fishing,expenditure_usd,218000000000,USD,USD
US,2023,isic,C,Manufacturing,expenditure_usd,2520000000000,USD,USD
US,2023,isic,J,Information and communication,expenditure_usd,1750000000000,USD,USD
US,2023,isic,M,Professional; scientific and technical activities,expenditure_usd,2100000000000,USD,USD

