id,locale,cluster,intent,query,page_type,source_market,priority,notes
kw-0001,ja,c-segment-sedan,spec,"Toyota Corolla スペック",spec,japan,p1,canonical-source
kw-0002,ja,c-segment-sedan,review,"Toyota Corolla レビュー",review,japan,p1,canonical-source
kw-0003,ja,c-segment-sedan,compare,"Toyota Corolla 比較",compare,japan,p1,canonical-source
kw-0004,ja,c-segment-sedan,ownership,"Toyota Corolla 維持費",ownership,japan,p1,canonical-source
kw-0005,ja,hybrid,spec,"Toyota Prius スペック",spec,japan,p1,canonical-source
kw-0006,ja,hybrid,review,"Toyota Prius レビュー",review,japan,p1,canonical-source
kw-0007,ja,hybrid,compare,"Toyota Prius 比較",compare,japan,p1,canonical-source
kw-0008,ja,hybrid,ownership,"Toyota Prius 維持費",ownership,japan,p1,canonical-source
kw-0009,ja,minivan,spec,"Toyota Alphard スペック",spec,japan,p1,canonical-source
kw-0010,ja,minivan,review,"Toyota Alphard レビュー",review,japan,p1,canonical-source
kw-0011,ja,minivan,compare,"Toyota Alphard 比較",compare,japan,p1,canonical-source
kw-0012,ja,minivan,ownership,"Toyota Alphard 維持費",ownership,japan,p1,canonical-source
kw-0013,ja,suv-offroad,spec,"Toyota Land Cruiser スペック",spec,japan,p1,canonical-source
kw-0014,ja,suv-offroad,review,"Toyota Land Cruiser レビュー",review,japan,p1,canonical-source
kw-0015,ja,suv-offroad,compare,"Toyota Land Cruiser 比較",compare,japan,p1,canonical-source
kw-0016,ja,suv-offroad,ownership,"Toyota Land Cruiser 維持費",ownership,japan,p1,canonical-source
kw-0017,ja,c-segment-sedan,spec,"Honda Civic スペック",spec,japan,p1,canonical-source
kw-0018,ja,c-segment-sedan,review,"Honda Civic レビュー",review,japan,p1,canonical-source
kw-0019,ja,c-segment-sedan,compare,"Honda Civic 比較",compare,japan,p1,canonical-source
kw-0020,ja,c-segment-sedan,ownership,"Honda Civic 維持費",ownership,japan,p1,canonical-source
kw-0021,ja,kei,spec,"Honda N-Box スペック",spec,japan,p1,canonical-source
kw-0022,ja,kei,review,"Honda N-Box レビュー",review,japan,p1,canonical-source
kw-0023,ja,kei,compare,"Honda N-Box 比較",compare,japan,p1,canonical-source
kw-0024,ja,kei,ownership,"Honda N-Box 維持費",ownership,japan,p1,canonical-source
kw-0025,ja,minivan,spec,"Honda Stepwgn スペック",spec,japan,p1,canonical-source
kw-0026,ja,minivan,review,"Honda Stepwgn レビュー",review,japan,p1,canonical-source
kw-0027,ja,minivan,compare,"Honda Stepwgn 比較",compare,japan,p1,canonical-source
kw-0028,ja,minivan,ownership,"Honda Stepwgn 維持費",ownership,japan,p1,canonical-source
kw-0029,ja,minivan,spec,"Nissan Serena スペック",spec,japan,p1,canonical-source
kw-0030,ja,minivan,review,"Nissan Serena レビュー",review,japan,p1,canonical-source
kw-0031,ja,minivan,compare,"Nissan Serena 比較",compare,japan,p1,canonical-source
kw-0032,ja,minivan,ownership,"Nissan Serena 維持費",ownership,japan,p1,canonical-source
kw-0033,ja,suv,spec,"Nissan X-Trail スペック",spec,japan,p1,canonical-source
kw-0034,ja,suv,review,"Nissan X-Trail レビュー",review,japan,p1,canonical-source
kw-0035,ja,suv,compare,"Nissan X-Trail 比較",compare,japan,p1,canonical-source
kw-0036,ja,suv,ownership,"Nissan X-Trail 維持費",ownership,japan,p1,canonical-source
kw-0037,ja,suv,spec,"Mazda CX-5 スペック",spec,japan,p1,canonical-source
kw-0038,ja,suv,review,"Mazda CX-5 レビュー",review,japan,p1,canonical-source
kw-0039,ja,suv,compare,"Mazda CX-5 比較",compare,japan,p1,canonical-source
kw-0040,ja,suv,ownership,"Mazda CX-5 維持費",ownership,japan,p1,canonical-source
kw-0041,ja,suv-awd,spec,"Subaru Forester スペック",spec,japan,p1,canonical-source
kw-0042,ja,suv-awd,review,"Subaru Forester レビュー",review,japan,p1,canonical-source
kw-0043,ja,suv-awd,compare,"Subaru Forester 比較",compare,japan,p1,canonical-source
kw-0044,ja,suv-awd,ownership,"Subaru Forester 維持費",ownership,japan,p1,canonical-source
kw-0045,ja,kei-offroad,spec,"Suzuki Jimny スペック",spec,japan,p1,canonical-source
kw-0046,ja,kei-offroad,review,"Suzuki Jimny レビュー",review,japan,p1,canonical-source
kw-0047,ja,kei-offroad,compare,"Suzuki Jimny 比較",compare,japan,p1,canonical-source
kw-0048,ja,kei-offroad,ownership,"Suzuki Jimny 維持費",ownership,japan,p1,canonical-source
kw-0049,ja,minivan-awd,spec,"Mitsubishi Delica D:5 スペック",spec,japan,p1,canonical-source
kw-0050,ja,minivan-awd,review,"Mitsubishi Delica D:5 レビュー",review,japan,p1,canonical-source
kw-0051,ja,minivan-awd,compare,"Mitsubishi Delica D:5 比較",compare,japan,p1,canonical-source
kw-0052,ja,minivan-awd,ownership,"Mitsubishi Delica D:5 維持費",ownership,japan,p1,canonical-source
kw-0053,ja,luxury-suv,spec,"Lexus RX スペック",spec,japan,p1,canonical-source
kw-0054,ja,luxury-suv,review,"Lexus RX レビュー",review,japan,p1,canonical-source
kw-0055,ja,luxury-suv,compare,"Lexus RX 比較",compare,japan,p1,canonical-source
kw-0056,ja,luxury-suv,ownership,"Lexus RX 維持費",ownership,japan,p1,canonical-source
kw-0057,ja,luxury-suv,spec,"Lexus NX スペック",spec,japan,p1,canonical-source
kw-0058,ja,luxury-suv,review,"Lexus NX レビュー",review,japan,p1,canonical-source
kw-0059,ja,luxury-suv,compare,"Lexus NX 比較",compare,japan,p1,canonical-source
kw-0060,ja,luxury-suv,ownership,"Lexus NX 維持費",ownership,japan,p1,canonical-source
kw-0061,ja,van,spec,"Toyota HiAce スペック",spec,japan,p1,canonical-source
kw-0062,ja,van,review,"Toyota HiAce レビュー",review,japan,p1,canonical-source
kw-0063,ja,van,compare,"Toyota HiAce 比較",compare,japan,p1,canonical-source
kw-0064,ja,van,ownership,"Toyota HiAce 維持費",ownership,japan,p1,canonical-source
kw-0065,en,c-segment-sedan,spec,"Toyota Corolla specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0066,en,c-segment-sedan,review,"Toyota Corolla review",review,japan,p1,localized-from-ja-with-market-notes
kw-0067,en,c-segment-sedan,compare,"Toyota Corolla vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0068,en,c-segment-sedan,ownership,"Toyota Corolla ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0069,en,hybrid,spec,"Toyota Prius specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0070,en,hybrid,review,"Toyota Prius review",review,japan,p1,localized-from-ja-with-market-notes
kw-0071,en,hybrid,compare,"Toyota Prius vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0072,en,hybrid,ownership,"Toyota Prius ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0073,en,minivan,spec,"Toyota Alphard specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0074,en,minivan,review,"Toyota Alphard review",review,japan,p1,localized-from-ja-with-market-notes
kw-0075,en,minivan,compare,"Toyota Alphard vs competitors",compare,japan,p1,localized-from-ja-with-market-notes
kw-0076,en,minivan,ownership,"Toyota Alphard ownership cost",ownership,japan,p1,localized-from-ja-with-market-notes
kw-0077,en,suv-offroad,spec,"Toyota Land Cruiser specs",spec,japan,p1,localized-from-ja-with-market-notes
kw-0078,en,suv-offroad,review,"Toyota Land Cruiser review",review,japan,p1,localized-from-ja-with-market-notes
