code,slug,name
10,live-animals,Live Animals and Livestock and Agricultural Products
11,mineral-textile,Mineral and Textile and Inedible Plant and Animal Materials
12,chemicals,Chemicals including Bio Chemicals and Gas Materials
13,resin-rubber,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials
14,paper,Paper Materials and Products
15,fuels,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
20,mining-machinery,Mining and Well Drilling Machinery and Accessories
21,farming-machinery,Farming and Fishing and Forestry and Wildlife Machinery and Accessories
22,construction-machinery,Building and Construction Machinery and Accessories
23,industrial-machinery,Industrial Manufacturing and Processing Machinery and Accessories
24,material-handling,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
26,power-generation,Power Generation and Distribution Machinery and Accessories
27,tools,Tools and General Machinery
30,structures,Structures and Building and Construction and Manufacturing Components and Supplies
31,manufacturing-components,Manufacturing Components and Supplies
32,electronic-components,Electronic Components and Supplies
39,lighting,Lighting Fixtures and Accessories and Supplies
40,distribution-systems,Distribution and Conditioning Systems and Equipment and Components
41,laboratory,Laboratory and Measuring and Observing and Testing Equipment
44,office-equipment,Office Equipment and Accessories and Supplies
45,printing-av,Printing and Photographic and Audio and Visual Equipment and Supplies
46,defense-safety,Defense and Law Enforcement and Security and Safety Equipment and Supplies
47,cleaning,Cleaning Equipment and Supplies
48,service-machinery,Service Industry Machinery and Equipment and Supplies
49,sports-recreation,Sports and Recreational Equipment and Supplies and Accessories
51,pharmaceuticals,Drugs and Pharmaceutical Products
52,consumer-electronics,Domestic Appliances and Supplies and Consumer Electronic Products
53,apparel,Apparel and Luggage and Personal Care Products
54,jewelry,Timepieces and Jewelry and Gemstone Products
55,published-products,Published Products
56,furniture,Furniture and Furnishings
60,musical-educational,Musical Instruments and Games and Toys and Arts and Crafts and Educational Equipment and Materials and Accessories and Supplies
70,farming-services,Farming and Fishing and Forestry and Wildlife Contracting Services
71,mining-services,Mining and Oil and Gas Services
72,construction-services,Building and Facility Construction and Maintenance Services
73,industrial-services,Industrial Production and Manufacturing Services
76,cleaning-services,Industrial Cleaning Services
77,environmental,Environmental Services
80,management-services,Management and Business Professionals and Administrative Services
81,engineering-services,Engineering and Research and Technology Based Services
82,editorial-design,Editorial and Design and Graphic and Fine Art Services
83,public-utilities,Public Utilities and Public Sector Related Services
85,healthcare-services,Healthcare Services
86,education-services,Education and Training Services
90,travel-entertainment,Travel and Food and Lodging and Entertainment Services
91,personal-services,Personal and Domestic Services
92,defense-services,National Defense and Public Order and Security and Safety Services
93,politics-civic,Politics and Civic Affairs Services
94,organizations,Organizations and Clubs
95,land-buildings,Land and Buildings and Structures and Thoroughfares
