case_id,activity,timestamp,resource,lifecycle,work_id,artifact_id,detail
pdcolor:run:e2e:gertie-worker-real,01 Candidate persisted,2026-04-29T04:26:59.739@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:run:e2e:gertie-worker-real,rights_review
pdcolor:run:e2e:gertie-worker-real-v2,01 Candidate persisted,2026-04-29T04:20:53.081@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:run:e2e:gertie-worker-real-v2,rights_review
pdcolor:run:e2e:gertie-worker-real-v3b,01 Candidate persisted,2026-04-29T04:31:58.768@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:run:e2e:gertie-worker-real-v3b,rights_review
pdcolor:run:e2e:gertie-worker-real-v3b,03 Derivatives ready,2026-04-29T04:32:23.734@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:derivative:e2e:gertie-worker-real-v3b,dry_run_ready
pdcolor:run:e2e:gertie-worker-real-v5,01 Candidate persisted,2026-04-29T04:40:47.123@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:run:e2e:gertie-worker-real-v5,rights_review
pdcolor:run:e2e:gertie-worker-real-v5,02 Rights approved,2026-04-29T04:40:48.302@GMT,did:web:pd-color.etzhayyim.com,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:rights:pdcolor:run:e2e:gertie-worker-real-v5,public-domain
pdcolor:run:e2e:gertie-worker-real-v5,03 Derivatives ready,2026-04-29T04:40:54.841@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:derivative:e2e:gertie-worker-real-v5,dry_run_ready
pdcolor:run:e2e:gertie-worker-real-v5,04 Localization ready: en,2026-04-29T04:40:55.714@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:localization:pdcolor:derivative:e2e:gertie-worker-real-v5:en,bafkreia27wujevsw6wvscq62d3cp5qxnfo3la2bud7jkncwt7ksjvxxoby
pdcolor:run:e2e:gertie-worker-real-v5,04 Localization ready: es,2026-04-29T04:40:55.714@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:localization:pdcolor:derivative:e2e:gertie-worker-real-v5:es,bafkreia27wujevsw6wvscq62d3cp5qxnfo3la2bud7jkncwt7ksjvxxoby
pdcolor:run:e2e:gertie-worker-real-v5,04 Localization ready: fr,2026-04-29T04:40:55.714@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:localization:pdcolor:derivative:e2e:gertie-worker-real-v5:fr,bafkreia27wujevsw6wvscq62d3cp5qxnfo3la2bud7jkncwt7ksjvxxoby
pdcolor:run:e2e:gertie-worker-real-v5,04 Localization ready: ja,2026-04-29T04:40:55.714@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:localization:pdcolor:derivative:e2e:gertie-worker-real-v5:ja,bafkreia27wujevsw6wvscq62d3cp5qxnfo3la2bud7jkncwt7ksjvxxoby
pdcolor:run:e2e:gertie-worker-real-v5,04 Localization ready: ko,2026-04-29T04:40:55.714@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:localization:pdcolor:derivative:e2e:gertie-worker-real-v5:ko,bafkreia27wujevsw6wvscq62d3cp5qxnfo3la2bud7jkncwt7ksjvxxoby
pdcolor:run:e2e:gertie-worker-real-v5,04 Localization ready: zh-Hans,2026-04-29T04:40:55.714@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:localization:pdcolor:derivative:e2e:gertie-worker-real-v5:zh-Hans,bafkreia27wujevsw6wvscq62d3cp5qxnfo3la2bud7jkncwt7ksjvxxoby
pdcolor:run:process-event-smoke:1777446641,Restore frames,2026-04-29T07:10:42Z,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:process-event:pdcolor:run:process-event-smoke:1777446641:Restore-frames:1777446642038,bafkreibkzxdiwsmkqjfo7s7hyizkpk4agdanqmde3mtofcbttylln7aeiq
pdcolor:run:publish:gertie-worker-real-v1,01 Candidate persisted,2026-04-29T04:50:25.24@GMT,sys.bpmn.pd-color,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:run:publish:gertie-worker-real-v1,rights_review
pdcolor:run:publish:gertie-worker-real-v1,02 Rights approved,2026-04-29T04:50:26.618@GMT,did:web:pd-color.etzhayyim.com,complete,pdcolor:work:gertie-the-dinosaur-1914,pdcolor:rights:pdcolor:run:publish:gertie-worker-real-v1,public-domain
