
No	大分類	中分類	小分類	診断を実施すべき機能	診断方法
1	Webアプリケーションの脆弱性	インジェクション	SQLインジェクション	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
2	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
3	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
4	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
5	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
6	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
7	 	 	コマンドインジェクション	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
8	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
9	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
10	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
11	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
12	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
13	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
14	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
15	 	 	CRLFインジェクション	ヘッダに値を出力している箇所	パラメータの値に検出パターンを挿入し、リクエストを送信
16	 	 	 	ヘッダに値を出力している箇所	パラメータの値に検出パターンを挿入し、リクエストを送信
17	 	 	 	メールメッセージのヘッダに値を出力している箇所	パラメータの値に検出パターンを挿入し、リクエストを送信
18	 	 	クロスサイトスクリプティング(XSS)	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
25	 	 	CSSインジェクション	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
26	 	 	Relative Path Overwrite	すべて	パスに検出パターンを挿入し、リクエストを送信
27	 	 	サーバサイドテンプレートインジェクション（SSTI）	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
28	 	 	 	すべて	パラメータの値に検出パターンを挿入し、リクエストを送信
29	 	パストラバーサル	 	ファイル名を扱っている画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
30	 	 	 	ファイル名を扱っている画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
31	 	 	 	ファイル名を扱っている画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
32	 	 	 	ファイル名を扱っている画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
33	 	 	 	ファイル名を扱っている画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
34	 	 	 	ファイル名を扱っている画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
35	 	 	 	ファイル名を扱っている画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
36	 	ファイルアップロードに関する不備	クロスサイトスクリプティング(XSS)	ファイルアップロード機能	ファイルアップロード機能を使い検出パターンを含むファイルをアップロードした後、当該ファイルが設置されたと考えられるパスにアクセス
37	 	 	 	ファイルアップロード機能およびファイル名を取り扱っている画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信

ファイル名が出力されると考えられる画面にアクセス
38	 	 	 	ファイルアップロード機能およびファイルのメタデータの出力箇所	パラメータの値に検出パターンを挿入し、リクエストを送信

ファイルのメタデータ情報が出力されると考えられる画面にアクセス
39	 	 	任意コード実行	ファイルアップロード機能	パラメータの値に検出パターンを挿入し、リクエストを送信

ファイルアップロード機能を使い任意のファイルをアップロードしたあと、当該ファイルが設置されたと考えられるパスにアクセス
40	 	 	LFI	ファイル名を扱っている画面や機能	ファイルアップロード機能を使い小分類「任意コード実行」のペイロードファイルをアップロードしたあと、検出パターンにあるパス・ファイル名をアップロードしたファイル名に合わせて変更し、リクエストを送信
41	 	 	DoS攻撃	ファイルアップロード機能	受け入れられる形式の大きなサイズのファイルを作成し、そのファイルをアップロード
42	 	 	DoS攻撃	画像ファイルのアップロード機能	細工した画像ファイルをアップロード
43	 	 	圧縮ファイルの取り扱い不備	アップロードした圧縮ファイルを展開する機能(zipやdocxなど）	ファイルをアップロード
44	 	 	 	アップロードした圧縮ファイルを展開する機能(zipやdocxなど）	ファイルをアップロードし、展開されたと推測されるファイルにアクセス
45	 	 	 	アップロードした圧縮ファイルを展開する機能(zipやdocxなど）	ファイルをアップロード
46	 	 	XML外部エンティティ参照 (XXE)	アップロードされたDOCXやPPTXなどのXMLが含まれるファイルを処理する機能	xmlファイルやdocxファイルなどアップロードするファイルの内容に検出パターンを挿入し、リクエストを送信
47	 	XML外部エンティティ参照 (XXE)	 	リクエストにXMLが含まれている箇所	XMLに検出パターンを挿入し、リクエストを送信
48	 	 	 	リクエストにXMLが含まれている箇所	XMLに検出パターンを挿入し、リクエストを送信
49	 	 	 	リクエストにXMLが含まれている箇所	XMLに検出パターンを挿入し、リクエストを送信
50	 	 	 	リクエストにXMLが含まれている箇所	XMLに検出パターンを挿入し、リクエストを送信
51	 	 	 	リクエストにXMLが含まれている箇所	XMLに検出パターンを挿入し、リクエストを送信
52	 	 	 	すべて	Content-typeをXMLを示す値に変更し、上記検出パターンを含めてリクエストを送信
53	 	オープンリダイレクト	 	リダイレクトが実行される画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
54	 	 	 	リダイレクトが実行される画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
55	 	 	 	リダイレクトが実行される画面や機能	パラメータの値に検出パターンを挿入し、リクエストを送信
56	 	シリアライズされたオブジェクト	 	すべて	検出パターンがリクエストに含まれていないか確認
