project	proc	nsidNs	bpmnId	jpName	actionName	subjectField	severity
open-airplane	flagAirspaceViolation	openAirplane	open_airplane_flag_airspace_violation	領空侵犯 フラグ	openAirplane.airspace.flagViolation	aircraftVid	high
open-airplane	notifyNoFlyZone	openAirplane	open_airplane_notify_no_fly_zone	制限空域 通知	openAirplane.airspace.notifyNoFlyZone	zoneVid	info
open-ports	screenVesselSanctions	openPorts	open_ports_screen_vessel_sanctions	船舶 制裁スクリーニング	openPorts.vessel.screenSanctions	vesselVid	high
open-ports	flagDarkFleet	openPorts	open_ports_flag_dark_fleet	ダークフリート フラグ	openPorts.vessel.flagDarkFleet	vesselVid	high
open-rail	flagCriticalAssetIncident	openRail	open_rail_flag_critical_asset_incident	重要インフラ事案 フラグ	openRail.asset.flagIncident	stationVid	high
open-network	reportCyberIncident	openNetwork	open_network_report_cyber_incident	サイバー事案 報告	openNetwork.cyber.reportIncident	assetVid	high
open-network	escalateDdos	openNetwork	open_network_escalate_ddos	DDoS 緊急報告	openNetwork.cyber.escalateDdos	assetVid	critical
open-power	reportGridAttack	openPower	open_power_report_grid_attack	送電網攻撃 報告	openPower.grid.reportAttack	feederVid	critical
open-gas	reportPipelineSabotage	openGas	open_gas_report_pipeline_sabotage	ガス管破壊 報告	openGas.pipeline.reportSabotage	segmentVid	critical
open-water	reportInfraSabotage	openWater	open_water_report_infra_sabotage	水道施設破壊 報告	openWater.main.reportSabotage	mainVid	critical
open-swift	screenSanctions	openSwift	open_swift_screen_sanctions	SWIFT 制裁スクリーニング	openSwift.payment.screenSanctions	bicCode	high
open-banking	flagSuspiciousTransaction	openBanking	open_banking_flag_suspicious_transaction	疑わしい取引 STR	openBanking.transaction.flagSuspicious	accountVid	high
open-jpn-gov	resolveBoeiShoProcurement	openJpnGov	open_jpn_gov_resolve_boei_sho_procurement	防衛省 調達解決	openJpnGov.boeiSho.resolveProcurement	tenderId	info
open-jpn-gov	checkTokuteiHimitsu	openJpnGov	open_jpn_gov_check_tokutei_himitsu	特定秘密保護法 照会	openJpnGov.tokuteiHimitsu.check	documentVid	info
open-cofog	classifyDefenceFunction	openCofog	open_cofog_classify_defence_function	COFOG 02 防衛分類	openCofog.budget.classifyDefence	budgetVid	info
open-isic	flagDualUseIndustry	openIsic	open_isic_flag_dual_use_industry	軍民両用産業 フラグ	openIsic.industry.flagDualUse	entityVid	high
open-seiyaku	screenExportControl	openSeiyaku	open_seiyaku_screen_export_control	輸出管理スクリーニング	openSeiyaku.export.screenControl	commodityVid	high
open-unispsc	flagDualUseCommodity	openUnispsc	open_unispsc_flag_dual_use_commodity	軍民両用物資 フラグ	openUnispsc.commodity.flagDualUse	commodityVid	high
open-cyber-threat	assessThreatActor	cyberThreat	open_cyber_threat_assess_threat_actor	脅威アクター 評価	cyber.threatActor	threatActorVid	high
open-cyber-vuln	linkExploitToActor	cyberVuln	open_cyber_vuln_link_exploit_to_actor	エクスプロイト→アクター 紐付	cyber.exploitLink	cveId	high
open-zero-day-broker	flagZeroDayTrade	zeroDayBroker	open_zero_day_broker_flag_zero_day_trade	ゼロデイ取引 フラグ	cyber.zeroDayTrade	brokerLei	critical
open-cve-cna	flagWeaponizedCve	cveCna	open_cve_cna_flag_weaponized_cve	武器化 CVE フラグ	cyber.weaponizedCve	cveId	critical
open-ransomware-pay	screenRansomSanctions	ransomwarePay	open_ransomware_pay_screen_ransom_sanctions	ランサム支払 制裁照合	sanctions.ransomPay	payerLei	high
open-ofac-sanctions-sdn	matchSdnEntity	ofacSanctionsSdn	open_ofac_sanctions_sdn_match_sdn_entity	OFAC SDN 一致	sanctions.sdnMatch	targetLei	high
open-bis-triennial	classifyEccnControl	bisTriennial	open_bis_triennial_classify_eccn_control	ECCN 分類	export.eccn	commodityVid	high
open-mofcom-export-control	flagPrcExport	mofcomExportControl	open_mofcom_export_control_flag_prc_export	中商务部 輸出管理	export.prcMofcom	commodityVid	high
open-uflpa-enforcement	flagUflpaSupplier	uflpaEnforcement	open_uflpa_enforcement_flag_uflpa_supplier	UFLPA サプライヤ フラグ	sanctions.uflpa	supplierLei	high
open-spyware-export	flagSpywareTrade	spywareExport	open_spyware_export_flag_spyware_trade	スパイウェア輸出 フラグ	export.spyware	vendorLei	critical
open-ais-dark-vessel	flagAisManipulation	aisDarkVessel	open_ais_dark_vessel_flag_ais_manipulation	AIS 改竄 フラグ	vessel.aisManip	vesselVid	high
open-shadow-fleet-insurance	flagPiClubBypass	shadowFleetInsurance	open_shadow_fleet_insurance_flag_pi_club_bypass	P&I 迂回 フラグ	vessel.shadowInsurance	vesselVid	high
open-cable-repair-fleet	flagSubseaCableTamper	cableRepairFleet	open_cable_repair_fleet_flag_subsea_cable_tamper	海底ケーブル妨害 フラグ	subsea.cableTamper	cableVid	critical
open-critical-minerals	flagSupplyConcentration	criticalMinerals	open_critical_minerals_flag_supply_concentration	重要鉱物 集中度 フラグ	supply.criticalMineral	mineralCode	high
open-semiconductor-fab	flagFabExportControl	semiconductorFab	open_semiconductor_fab_flag_fab_export_control	半導体 fab 輸出管理	export.semiconductorFab	fabLei	high
open-semi-ip-licensing	flagDualUseLicensing	semiIpLicensing	open_semi_ip_licensing_flag_dual_use_licensing	半導体 IP 軍民両用 ライセンス	export.semiIpLicense	licensorLei	high
open-space-traffic	flagAdversarialManeuver	spaceTraffic	open_space_traffic_flag_adversarial_maneuver	敵対的軌道機動 フラグ	space.adversarialManeuver	satelliteVid	high
open-orbital-debris	flagAsatDebris	orbitalDebris	open_orbital_debris_flag_asat_debris	ASAT デブリ フラグ	space.asatDebris	eventVid	critical
open-social-media-influence-op	flagStateInfluenceOp	socialMediaInfluenceOp	open_social_media_influence_op_flag_state_influence_op	国家工作 情報戦 フラグ	info.stateInfluenceOp	campaignVid	high
open-deepfake-takedown	flagStateSponsoredDeepfake	deepfakeTakedown	open_deepfake_takedown_flag_state_sponsored_deepfake	国家関与 deepfake フラグ	info.stateDeepfake	contentVid	high
open-jpn-gov	registerAtlaContract	openJpnGov	open_jpn_gov_register_atla_contract	防衛装備庁 契約登録	boeiSho.atlaContract	contractId	info
open-jpn-gov	notifyJsdfJcgAlert	openJpnGov	open_jpn_gov_notify_jsdf_jcg_alert	自衛隊・海保 共有アラート	boeiSho.jsdfJcgAlert	alertVid	high
open-critical-minerals	flagRareEarthChokepoint	criticalMinerals	open_critical_minerals_flag_rare_earth_chokepoint	希土類 ボトルネック	supply.rareEarthChoke	element	critical
open-critical-minerals	trackArmsGradeMetal	criticalMinerals	open_critical_minerals_track_arms_grade_metal	武器級金属 トレース	supply.armsGradeMetal	metalCode	high
open-isic	classifyArmsManufacturing	openIsic	open_isic_classify_arms_manufacturing	武器・弾薬製造 (ISIC 2520)	industry.armsManufacture	entityVid	high
open-unispsc	flagArmsCommodity	openUnispsc	open_unispsc_flag_arms_commodity	武器物資 (UNSPSC 46)	commodity.arms	commodityVid	high
open-export-credit-agency	trackArmsExportFinance	exportCreditAgency	open_export_credit_agency_track_arms_export_finance	武器輸出 ECA 与信	finance.armsExport	ecaLei	high
open-ai-supply-chain	flagAiWeaponizedComponent	aiSupplyChain	open_ai_supply_chain_flag_ai_weaponized_component	AI 武器化部品 フラグ	cyber.aiWeaponized	componentVid	critical
