id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2022-1664127,2022-01-06,000001,Vente,390000,12,,RUE SAINT SEVERIN,8760,75005,75105,Paris 5e Arrondissement,75,,,75105000BP0041,,,5,33.61,,,,,,,,,1,2,Appartement,32,2,,,,,,2.34579,48.852465
2022-1664133,2022-01-04,000001,Vente,895200,9,,RUE DE QUATREFAGES,7911,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0096,,,2,,46,68.07,,,,,,,2,2,Appartement,65,3,,,,,,2.353944,48.843273
2022-1664133,2022-01-04,000001,Vente,895200,9,,RUE DE QUATREFAGES,7911,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0096,,,2,,46,68.07,,,,,,,2,3,Dépendance,,0,,,,,,2.353944,48.843273
2022-1664136,2022-01-04,000001,Vente,1045000,29,B,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AH0037,,,25,77.1,5,,,,,,,,2,2,Appartement,77,3,,,,,,2.351999,48.846595
2022-1664136,2022-01-04,000001,Vente,1045000,29,B,RUE MONGE,6432,75005,75105,Paris 5e Arrondissement,75,,,75105000AH0037,,,25,77.1,5,,,,,,,,2,3,Dépendance,,0,,,,,,2.351999,48.846595
2022-1664145,2022-01-07,000001,Vente,143000,34,,RUE MOUFFETARD,6581,75005,75105,Paris 5e Arrondissement,75,,,75105000AZ0048,,,13,9.97,,,,,,,,,1,2,Appartement,11,1,,,,,,2.349045,48.843931
2022-1664147,2022-01-06,000001,Vente,550000,145,,BD SAINT MICHEL,8705,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0009,,,62,40.99,,,,,,,,,1,2,Appartement,41,3,,,,,,2.337856,48.840991
2022-1664164,2022-01-10,000001,Vente,827241,6,,RUE GEOFFROY ST HILAIRE,4108,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0069,,,68,68.82,,,,,,,,,1,2,Appartement,71,4,,,,,,2.35709,48.839124
2022-1664164,2022-01-10,000001,Vente,827241,6,,RUE GEOFFROY ST HILAIRE,4108,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0069,,,68,68.82,,,,,,,,,1,3,Dépendance,,0,,,,,,2.35709,48.839124
2022-1664175,2022-01-05,000001,Vente,705950,17,,RUE PASCAL,7076,75005,75105,Paris 5e Arrondissement,75,,,75105000AV0070,,,59,60.02,7,,,,,,,,2,2,Appartement,60,3,,,,,,2.349656,48.838012
2022-1664175,2022-01-05,000001,Vente,705950,17,,RUE PASCAL,7076,75005,75105,Paris 5e Arrondissement,75,,,75105000AV0070,,,59,60.02,7,,,,,,,,2,3,Dépendance,,0,,,,,,2.349656,48.838012
2022-1664180,2022-01-07,000001,Vente,367000,9,,RUE LARREY,5362,75005,75105,Paris 5e Arrondissement,75,,,75105000AL0100,,,48,26.95,,,,,,,,,1,3,Dépendance,,0,,,,,,2.353457,48.842
2022-1664180,2022-01-07,000001,Vente,367000,9,,RUE LARREY,5362,75005,75105,Paris 5e Arrondissement,75,,,75105000AL0100,,,48,26.95,,,,,,,,,1,2,Appartement,26,1,,,,,,2.353457,48.842
2022-1664209,2022-01-07,000001,Vente,235000,64,,BD SAINT GERMAIN,8619,75005,75105,Paris 5e Arrondissement,75,,,75105000BQ0095,,,212,15.81,,,,,,,,,1,2,Appartement,25,1,,,,,,2.347942,48.85053
2022-1664222,2022-01-12,000001,Vente,1220805,1,,RUE LAPLACE,5340,75005,75105,Paris 5e Arrondissement,75,,,75105000BL0073,,,11,,6,87.57,,,,,,,2,2,Appartement,89,3,,,,,,2.347904,48.847124
2022-1664228,2022-01-04,000001,Vente,490000,22,,RUE DES CARMES,1554,75005,75105,Paris 5e Arrondissement,75,,,75105000BM0033,,,7,35.76,,,,,,,,,1,2,Appartement,35,2,,,,,,2.34701,48.848661
2022-1664236,2022-01-07,000001,Vente,32000,35,,RUE PIERRE NICOLE,7467,75005,75105,Paris 5e Arrondissement,75,,,75105000BF0060,,,94,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.339313,48.839933
2022-1664244,2022-01-06,000001,Vente,340000,18,,RUE XAVIER PRIVAS,9975,75005,75105,Paris 5e Arrondissement,75,,,75105000BP0081,,,16,30.14,,,,,,,,,1,2,Appartement,40,2,,,,,,2.34522,48.852686
2022-1664248,2022-01-03,000001,Vente,700000,24,,BD DE PORT-ROYAL,7740,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0070,,,93,52.71,94,,95,4.39,,,,,3,3,Dépendance,,0,,,,,,2.348903,48.837377
2022-1664248,2022-01-03,000001,Vente,700000,24,,BD DE PORT-ROYAL,7740,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0070,,,93,52.71,94,,95,4.39,,,,,3,2,Appartement,52,3,,,,,,2.348903,48.837377
2022-1664248,2022-01-03,000001,Vente,700000,24,,BD DE PORT-ROYAL,7740,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0070,,,93,52.71,94,,95,4.39,,,,,3,3,Dépendance,,0,,,,,,2.348903,48.837377
