id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1340996,2023-01-04,000001,Vente,262600,9,,RUE DE VALENCE,9546,75005,75105,Paris 5e Arrondissement,75,,,75105000AV0059,,,42,17.64,,,,,,,,,1,2,Appartement,20,1,,,,,,2.349829,48.83767
2023-1341010,2023-01-05,000001,Vente,595000,1,,RUE DE MIRBEL,6383,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0035,,,26,,8,,,,,,,,2,3,Dépendance,,0,,,,,,2.352396,48.840521
2023-1341010,2023-01-05,000001,Vente,595000,1,,RUE DE MIRBEL,6383,75005,75105,Paris 5e Arrondissement,75,,,75105000AU0035,,,26,,8,,,,,,,,2,2,Appartement,52,3,,,,,,2.352396,48.840521
2023-1341012,2023-01-09,000001,Vente,700000,2,,RUE DE VALENCE,9546,75005,75105,Paris 5e Arrondissement,75,,,75105000AV0079,,,10,56.32,32,,,,,,,,2,3,Dépendance,,0,,,,,,2.35021,48.838334
2023-1341012,2023-01-09,000001,Vente,700000,2,,RUE DE VALENCE,9546,75005,75105,Paris 5e Arrondissement,75,,,75105000AV0079,,,10,56.32,32,,,,,,,,2,2,Appartement,54,3,,,,,,2.35021,48.838334
2023-1341024,2023-01-03,000001,Vente,465000,24,B,RUE TOURNEFORT,9376,75005,75105,Paris 5e Arrondissement,75,,,75105000AY0030,,,54,31.25,,,,,,,,,1,2,Appartement,28,2,,,,,,2.347855,48.842494
2023-1341025,2023-01-02,000001,Vente,32000,15,,RUE BUFFON,1371,75005,75105,Paris 5e Arrondissement,75,,,75105000AQ0053,,,11,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.362593,48.842209
2023-1341050,2023-01-10,000001,Vente,48000,9,,RUE SOUFFLOT,9041,75005,75105,Paris 5e Arrondissement,75,,,75105000BJ0051,,,30,,,,,,,,,,1,2,Appartement,8,1,,,,,,2.342951,48.846689
2023-1341087,2023-01-05,000001,Vente,505600,46,,RUE POLIVEAU,7576,75005,75105,Paris 5e Arrondissement,75,,,75105000AR0110,,,107,38.68,128,,,,,,,,2,2,Appartement,37,2,,,,,,2.356709,48.83984
2023-1341090,2023-01-11,000001,Vente,450000,26,,RUE PASCAL,7076,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0064,,,16,,4,,,,,,,,2,3,Dépendance,,0,,,,,,2.34911,48.837703
2023-1341090,2023-01-11,000001,Vente,450000,26,,RUE PASCAL,7076,75005,75105,Paris 5e Arrondissement,75,,,75105000AW0064,,,16,,4,,,,,,,,2,2,Appartement,36,2,,,,,,2.34911,48.837703
2023-1341176,2023-01-11,000001,Vente,581699.94,12,,RUE LARREY,5362,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0090,,,38,,58,,,,,,,,2,3,Dépendance,,0,,,,,,2.353796,48.842554
2023-1341176,2023-01-11,000001,Vente,581699.94,12,,RUE LARREY,5362,75005,75105,Paris 5e Arrondissement,75,,,75105000AK0090,,,38,,58,,,,,,,,2,2,Appartement,72,3,,,,,,2.353796,48.842554
2023-1341183,2023-01-10,000001,Vente,276000,7,,RUE DE L ARBALETE,0405,75005,75105,Paris 5e Arrondissement,75,,,75105000AX0060,,,73,22,,,,,,,,,1,2,Appartement,22,2,,,,,,2.349384,48.840269
2023-1341183,2023-01-10,000001,Vente,276000,7,,RUE DE L ARBALETE,0405,75005,75105,Paris 5e Arrondissement,75,,,75105000AX0060,,,73,22,,,,,,,,,1,3,Dépendance,,0,,,,,,2.349384,48.840269
2023-1341183,2023-01-10,000001,Vente,276000,7,,RUE DE L ARBALETE,0405,75005,75105,Paris 5e Arrondissement,75,,,75105000AX0060,,,73,22,,,,,,,,,1,3,Dépendance,,0,,,,,,2.349384,48.840269
2023-1341202,2023-01-09,000001,Vente,158000,27,,RUE DE LA HUCHETTE,4678,75005,75105,Paris 5e Arrondissement,75,,,75105000BP0065,,,12,,,,,,,,,,1,2,Appartement,17,1,,,,,,2.345067,48.85297
2023-1341235,2023-01-17,000001,Vente,540000,4,,SQ VERMENOUZE,9687,75005,75105,Paris 5e Arrondissement,75,,,75105000AY0105,,,19,41.22,34,,,,,,,,2,3,Dépendance,,0,,,,,,2.348993,48.840819
2023-1341235,2023-01-17,000001,Vente,540000,4,,SQ VERMENOUZE,9687,75005,75105,Paris 5e Arrondissement,75,,,75105000AY0105,,,19,41.22,34,,,,,,,,2,2,Appartement,41,2,,,,,,2.348993,48.840819
