project,has_src,has_test,has_kotodama,has_readme,has_claude
etzhayyim-project-6chan,False,False,False,False,False
etzhayyim-project-6ir,True,True,True,False,False
etzhayyim-project-accounts,False,False,False,False,True
etzhayyim-project-activity-monitor,False,False,False,False,False
etzhayyim-project-actors,False,False,False,False,False
etzhayyim-project-adr,False,False,False,False,True
etzhayyim-project-advectors,False,False,False,True,False
etzhayyim-project-agentgateway,True,False,False,True,False
etzhayyim-project-aidesk,True,False,True,False,True
etzhayyim-project-aima,True,True,True,False,False
etzhayyim-project-air-book,True,True,True,False,False
etzhayyim-project-air-cargo,True,True,True,False,False
etzhayyim-project-air-crew,True,True,True,False,False
etzhayyim-project-air-dcs,True,True,True,False,False
etzhayyim-project-air-ffp,True,True,True,False,False
etzhayyim-project-air-mro,True,True,True,False,False
etzhayyim-project-air-ops,True,True,True,False,False
etzhayyim-project-air-sched,True,True,True,False,False
etzhayyim-project-air-sms,True,True,True,False,False
etzhayyim-project-air-yield,True,True,True,False,False
etzhayyim-project-aircraft,False,False,False,False,False
etzhayyim-project-aisec-mailer,False,False,False,False,False
etzhayyim-project-ameno,True,False,True,False,True
etzhayyim-project-amnesty,False,False,False,False,True
etzhayyim-project-analytics,True,True,True,False,False
etzhayyim-project-anima,False,False,False,False,True
etzhayyim-project-anime,True,True,False,False,False
etzhayyim-project-animeka,True,True,True,False,True
etzhayyim-project-api,False,False,False,False,False
etzhayyim-project-apify,False,False,False,False,False
etzhayyim-project-app-reviewer,False,False,False,True,False
etzhayyim-project-apparel,False,False,False,False,False
etzhayyim-project-approvals,False,False,False,False,False
etzhayyim-project-apps,True,False,True,False,False
etzhayyim-project-appstore,False,False,False,False,False
etzhayyim-project-apqc,False,False,False,False,False
etzhayyim-project-arbitrage,True,False,True,False,False
etzhayyim-project-art,False,False,False,False,False
etzhayyim-project-arxiv,False,False,False,False,False
etzhayyim-project-asset-manager,False,False,False,False,False
etzhayyim-project-assethub,False,False,False,False,False
etzhayyim-project-atproto,False,False,False,False,False
etzhayyim-project-auth,True,False,False,False,True
etzhayyim-project-auto-compliance,False,False,False,False,False
etzhayyim-project-auto-sales-erp,False,False,False,False,False
etzhayyim-project-autorace,False,False,False,False,False
etzhayyim-project-awai,False,False,False,False,True
etzhayyim-project-baminiku,True,False,True,False,True
etzhayyim-project-bank,False,False,False,False,False
etzhayyim-project-bankruptcy,False,False,False,False,False
etzhayyim-project-basic,False,False,False,False,True
etzhayyim-project-bengoshi,False,False,False,False,True
etzhayyim-project-beverage,False,False,False,False,False
etzhayyim-project-bim,True,True,True,False,True
etzhayyim-project-blockchain,True,True,False,False,True
etzhayyim-project-bluesky,True,False,True,False,False
etzhayyim-project-book,False,False,False,False,False
etzhayyim-project-bpmn,True,True,True,False,True
etzhayyim-project-briefing,True,True,True,False,True
etzhayyim-project-browser,True,False,True,False,True
etzhayyim-project-bunken,True,True,True,False,True
etzhayyim-project-bus,False,False,False,False,False
etzhayyim-project-business-edge,True,True,False,False,True
etzhayyim-project-business-manager,True,False,True,False,True
etzhayyim-project-business-person,True,True,False,False,True
etzhayyim-project-cad,True,True,True,False,True
etzhayyim-project-calendar,True,False,True,False,True
etzhayyim-project-canvas,False,False,True,False,True
etzhayyim-project-capital,False,False,False,False,False
etzhayyim-project-car-sim,True,False,True,False,False
etzhayyim-project-carbon,False,False,False,False,False
etzhayyim-project-cards,False,False,False,False,False
etzhayyim-project-cas,False,False,False,False,False
etzhayyim-project-casino,False,False,False,False,False
etzhayyim-project-cdn,False,False,True,False,True
etzhayyim-project-celler,True,True,True,False,True
etzhayyim-project-character,False,False,False,False,False
etzhayyim-project-chizai,False,False,False,False,False
etzhayyim-project-chotatsu,False,False,False,False,True
etzhayyim-project-chuushajou,False,False,False,False,False
etzhayyim-project-cloudflare-browser-render,True,False,True,False,True
etzhayyim-project-coach,False,False,False,True,False
etzhayyim-project-code-hs,False,False,False,True,True
etzhayyim-project-cofog,False,False,True,False,False
